Id,Name,Icon,Desc,Quality,Type,Param1,Param2,Price,ExpirationTime,StackNum,Uselv
1,钻石,1,可以直接购买商城中的珍贵物品。,5,0,0,0,10,0,999,0
2,金币,200102,装备突破，升星、升品等等需要的稀有物品。,3,0,0,0,10,0,999,0
3,训练经验,3,训练经验,3,0,0,0,10,0,999,0
4,球队经验,4,球队升级的经验，在经典赛，剧情赛中都可以获得经验。,4,0,0,0,10,0,999,0
5,球员经验,5,球员经验，在经典赛、剧情赛中可以获得球员经验，使用球员经验书可以获得大量经验。,4,0,0,0,10,0,999,0
6,体力,6,参加经典赛、剧情赛都会消耗体力，使用体力道具可恢复体力。,5,0,0,0,10,0,999,0
100101,红宝石,400101,集齐7色宝石可以召唤神龙。,3,0,0,0,10,0,999,0
100102,橙宝石,400102,集齐7色宝石可以召唤神龙。,3,0,0,0,10,0,999,0
100103,黄宝石,400103,集齐7色宝石可以召唤神龙。,3,0,0,0,10,0,999,0
100104,初级经验书,100104,可给球员提供20经验。,2,6,20,0,10,0,9999,0
100105,中级经验书,100105,可给球员提供100经验。,3,6,100,0,10,0,9999,0
100106,高级经验书,100106,可给球员提供500经验。,4,6,500,0,10,0,9999,0
100107,特级经验书,100107,可给球员提供5000经验。,5,6,5000,0,10,0,9999,0
100108,装备进阶石,100108,球员装备升阶时的道具。,5,1,100108,0,10,0,9999,0
100109,殿堂荣誉,100109,通过篮球殿堂获得的高级货币，可在殿堂商店购买物品。,5,0,100109,0,10,0,999999,0
100110,应援哨子,100110,可以在百分大战中应援自己心仪的球队。,5,0,100110,0,10,0,99999,0
200101,封测福利包,200101,测试的各种福利道具，助您打造最强球队。,4,2,200101,0,10,0,999,0
200102,大量金币,200102,使用后获得大量金币。,4,2,200102,0,10,0,999,0
200103,天命包,200101,打开获得必定获得50钻石，有概率额外获得宝石。,4,2,200103,0,10,0,999,0
200104,联赛礼包,200104,打开获得以下奖励中的随机一项：橙色球员碎片*1，橙色球员碎片*10，钻石*1000，橙色球员随机卡*1，橙色中锋随机卡*1。,4,2,200104,0,10,0,999,0
200105,杯赛礼包,200105,打开获得以下奖励中的随机一项：橙色球员碎片*1，橙色球员碎片*10，钻石*1000，橙色球员随机卡*1，橙色前锋随机卡*1。,4,2,200105,0,10,0,999,0
200106,冠军赛礼包,200106,打开获得以下奖励中的随机一项：橙色球员碎片*1，橙色球员碎片*10，钻石*1000，橙色球员随机卡*1，橙色后卫随机卡*1。,4,2,200105,0,10,0,999,0
200107,经验书,200107,打开后立即获得挂机10分钟的训练经验收益。,2,2,200107,0,10,0,999,0
200108,高级经验书,200108,打开后立即获得挂机1小时的训练经验收益。,3,2,200108,0,10,0,999,0
200109,封测福利包Lv.5,200101,测试的各种福利道具，助您打造最强球队。,4,2,200109,0,10,0,999,5
200110,封测福利包Lv.10,200101,测试的各种福利道具，助您打造最强球队。,4,2,200110,0,10,0,999,10
200111,封测福利包Lv.15,200101,测试的各种福利道具，助您打造最强球队。,4,2,200111,0,10,0,999,15
200112,封测福利包Lv.20,200101,测试的各种福利道具，助您打造最强球队。,4,2,200112,0,10,0,999,20
200113,封测福利包Lv.25,200101,测试的各种福利道具，助您打造最强球队。,4,2,200113,0,10,0,999,25
200114,封测福利包Lv.30,200101,测试的各种福利道具，助您打造最强球队。,4,2,200114,0,10,0,999,30
200115,封测福利包Lv.35,200101,测试的各种福利道具，助您打造最强球队。,4,2,200115,0,10,0,999,35
200116,封测福利包Lv.40,200101,测试的各种福利道具，助您打造最强球队。,4,2,200116,0,10,0,999,40
200117,封测福利包Lv.45,200101,测试的各种福利道具，助您打造最强球队。,4,2,200117,0,10,0,999,45
200118,封测福利包Lv.50,200101,测试的各种福利道具，助您打造最强球队。,4,2,200118,0,10,0,999,50
200119,封测福利包Lv.55,200101,测试的各种福利道具，助您打造最强球队。,4,2,200119,0,10,0,999,55
200120,封测福利包Lv.60,200101,测试的各种福利道具，助您打造最强球队。,4,2,200120,0,10,0,999,60
200201,橙色球员随机卡,200201,打开随机获得当前版本的橙色品质的球员一名。,4,2,200201,0,10,0,999,0
200202,橙色后卫随机卡,200202,打开随机获得橙色品质的后卫一名。,4,2,200202,0,10,0,999,0
200203,橙色前锋随机卡,200203,打开随机获得橙色品质的前锋一名。,4,2,200203,0,10,0,999,0
200204,橙色中锋随机卡,200204,打开随机获得橙色品质的中锋一名。,4,2,200204,0,10,0,999,0
200211,紫色球员随机卡,200211,打开随机获得当前版本的紫色品质的球员一名。,3,2,200211,0,10,0,999,0
200212,紫色后卫随机卡,200212,打开随机获得紫色品质的后卫一名。,3,2,200212,0,10,0,999,0
200213,紫色前锋随机卡,200213,打开随机获得紫色品质的前锋一名。,3,2,200213,0,10,0,999,0
200214,紫色中锋随机卡,200214,打开随机获得紫色品质的中锋一名。,3,2,200214,0,10,0,999,0
200215,绿装材料箱,200216,随机获得1个绿色装备材料。,1,2,200215,0,10,0,999,0
200216,蓝装材料箱,200217,随机获得1个蓝色装备材料。,2,2,200216,0,10,0,999,0
200217,紫装材料箱,200218,随机获得1个紫色装备材料。,3,2,200217,0,10,0,999,0
200218,橙装材料箱,200219,随机获得1个橙色装备材料。,4,2,200218,0,10,0,999,0
200219,红装材料箱1,200220,随机获得1个红色装备材料。,5,2,200219,0,10,0,999,0
200220,红装材料箱2,200220,随机获得1个高级红色装备材料。,5,2,200220,0,10,0,999,0
200221,橙色球员自选卡,200221,可在列表中任选1名橙色球员,4,8,200201,0,10,0,999,0
200222,橙色后卫自选卡,200222,可在列表中任选1名橙色后卫球员,4,8,200202,0,10,0,999,0
200223,橙色前锋自选卡,200223,可在列表中任选1名橙色前锋球员,4,8,200203,0,10,0,999,0
200224,橙色中锋自选卡,200224,可在列表中任选1名橙色中锋球员,4,8,200204,0,10,0,999,0
200225,紫色球员自选卡,200225,可在列表中任选1名紫色球员,3,8,200211,0,10,0,999,0
200226,紫色后卫自选卡,200226,可在列表中任选1名紫色后卫球员,3,8,200212,0,10,0,999,0
200227,紫色前锋自选卡,200227,可在列表中任选1名紫色前锋球员,3,8,200213,0,10,0,999,0
200228,紫色中锋自选卡,200228,可在列表中任选1名紫色中锋球员,3,8,200214,0,10,0,999,0
200229,蓝色球员随机卡,200229,打开随机获得蓝色品质的球员一名,2,2,200229,0,10,0,999,0
200230,蓝色球员自选卡,200230,可在列表中任选1名蓝色球员,2,8,200230,0,10,0,999,0
200231,橙色碎片自选卡,200231,可在已有的橙色球员中任选1名球员的碎片,4,7,26,0,10,0,999,0
200232,紫色碎片自选卡,200232,可在已有的紫色球员中任选1名球员的碎片,3,7,26,0,10,0,999,0
200233,蓝色碎片自选卡,200233,可在已有的蓝色球员中任选1名球员的碎片,2,7,26,0,10,0,999,0
200234,绿色碎片自选卡,200234,可在已有的绿色球员中任选1名球员的碎片,1,7,26,0,10,0,999,0
200235,绿色碎片包,200235,随机获得1个已有的绿色品质球员碎片,1,9,1,0,10,0,999,0
200236,中级碎片包1,200236,随机获得1个第1节爆发的蓝色球员的碎片,2,2,200235,0,10,0,999,0
200237,中级碎片包2,200236,随机获得1个第2节爆发的蓝色球员的碎片,2,2,200235,0,10,0,999,0
200238,中级碎片包3,200236,随机获得1个第3节爆发的蓝色球员的碎片,2,2,200235,0,10,0,999,0
200239,中级碎片包4,200236,随机获得1个第4节爆发的蓝色球员的碎片,2,2,200235,0,10,0,999,0
200240,高级碎片包1,200236,随机获得1个第1节爆发的紫色球员的碎片,3,2,200235,0,10,0,999,0
200241,高级碎片包2,200236,随机获得1个第2节爆发的紫色球员的碎片,3,2,200235,0,10,0,999,0
200242,高级碎片包3,200236,随机获得1个第3节爆发的紫色球员的碎片,3,2,200235,0,10,0,999,0
200243,高级碎片包4,200236,随机获得1个第4节爆发的紫色球员的碎片,3,2,200235,0,10,0,999,0
200244,顶级碎片包1,200236,随机获得1个第1节爆发的橙色球员的碎片,4,2,200235,0,10,0,999,0
200245,顶级碎片包2,200236,随机获得1个第2节爆发的橙色球员的碎片,4,2,200235,0,10,0,999,0
200246,顶级碎片包3,200236,随机获得1个第3节爆发的橙色球员的碎片,4,2,200235,0,10,0,999,0
200247,顶级碎片包4,200236,随机获得1个第4节爆发的橙色球员的碎片,4,2,200235,0,10,0,999,0
200248,蓝级碎片包,200235,随机获得1个已有的蓝色品质球员碎片,2,9,2,0,10,0,999,0
200249,紫色碎片包,200235,随机获得1个已有的紫色品质球员碎片,3,9,3,0,10,0,999,0
200250,橙色碎片包,200235,随机获得1个已有的橙色品质球员碎片,4,9,4,0,10,0,999,0
200251,封测礼包,200101,封测礼包,2,2,200251,0,10,0,999,0
200252,封测礼包,200101,封测礼包,2,2,200252,0,10,0,999,0
200253,封测礼包,200101,封测礼包,2,2,200253,0,10,0,999,0
200254,BUG贡献包,200101,BUG贡献礼包,2,2,200254,0,10,0,999,0
200255,未来之星球员包,200255,随机获得1个紫色品质以下的球员碎片,2,2,200255,0,10,0,999,0
200256,教练赛事包,200256,随机获得体能饮料、教练语录、医疗箱、高级医疗箱、高级体能饮料、高级教练语录其中的一个,4,2,200256,0,10,0,999,0
200257,百分赛礼包,200257,打开获得以下奖励中的随机一项：橙色球员碎片*1，橙色球员碎片*10，钻石*1000，橙色球员随机卡*1，橙色分卫随机卡*1。,4,2,200257,0,10,0,999,0
200258,红包（可直接打开）,700002,2024年春节红包，可直接使用。,4,2,200261,0,10,0,999,0
200259,高级教练包,200256,随机获得高级医疗箱、高级体能饮料、高级教练语录其中的一个,4,2,200262,0,10,0,999,0
200260,全明星球员自选碎片,200260,可在2024年CBA全明星阵容中任选1名球员橙色球员的碎片,4,8,200263,0,10,0,999,0
200261,全明星球员随机卡,200261,可在2024年CBA全明星阵容中获得随机1名橙色球员,4,2,200264,0,10,0,999,0
200262,全明星球员自选卡,200262,可在2024年CBA全明星阵容中任选1名橙色球员,4,8,200265,0,10,0,999,0
200263,赛事补给箱,200263,随机获得体能饮料、教练语录、医疗箱的其中一个,3,2,200266,0,10,0,999,0
200264,高级赛事补给箱,200264,随机获得高级体能饮料、高级教练语录、高级医疗箱的其中一个,4,2,200267,0,10,0,999,0
200265,全明星礼包,200265,打开获得以下奖励中的随机一项：全明星球员自选碎片*1、橙色球员碎片*1、红色星晶*1、橙色星晶*1、金币*10000的其中一种,4,2,200268,0,10,0,999,0
304001,易建联碎片,304001,集齐50个易建联碎片，可以合成一个易建联。,4,3,50,104001,40,0,999,0
304002,郭艾伦碎片,304002,集齐50个郭艾伦碎片，可以合成一个郭艾伦。,4,3,50,104002,40,0,999,0
304003,阿不都沙拉木碎片,304003,集齐50个阿不都沙拉木碎片，可以合成一个阿不都沙拉木。,4,3,50,104003,40,0,999,0
304004,赵继伟碎片,304004,集齐50个赵继伟碎片，可以合成一个赵继伟。,4,3,50,104004,40,0,999,0
304005,韩德君碎片,304005,集齐50个韩德君碎片，可以合成一个韩德君。,4,3,50,104005,40,0,999,0
304006,赵睿碎片,304006,集齐50个赵睿碎片，可以合成一个赵睿。,4,3,50,104006,40,0,999,0
304007,胡金秋碎片,304007,集齐50个胡金秋碎片，可以合成一个胡金秋。,4,3,50,104007,40,0,999,0
304008,王哲林碎片,304008,集齐50个王哲林碎片，可以合成一个王哲林。,4,3,50,104008,40,0,999,0
304009,沈梓捷碎片,304009,集齐50个沈梓捷碎片，可以合成一个沈梓捷。,4,3,50,104009,40,0,999,0
304010,张镇麟碎片,304010,集齐50个张镇麟碎片，可以合成一个张镇麟。,4,3,50,104010,40,0,999,0
304011,陶汉林碎片,304011,集齐50个陶汉林碎片，可以合成一个陶汉林。,4,3,50,104011,40,0,999,0
304012,孙铭徽碎片,304012,集齐50个孙铭徽碎片，可以合成一个孙铭徽。,4,3,50,104012,40,0,999,0
304013,周鹏碎片,304013,集齐50个周鹏碎片，可以合成一个周鹏。,4,3,50,104013,40,0,999,0
304014,胡明轩碎片,304014,集齐50个胡明轩碎片，可以合成一个胡明轩。,4,3,50,104014,40,0,999,0
304015,吴冠希碎片,304015,集齐50个吴冠希碎片，可以合成一个吴冠希。,4,3,50,104015,40,0,999,0
304016,吴前碎片,304016,集齐50个吴前碎片，可以合成一个吴前。,4,3,50,104016,40,0,999,0
304017,林庭谦碎片,304017,集齐50个林庭谦碎片，可以合成一个林庭谦。,4,3,50,104017,40,0,999,0
304018,陈盈骏碎片,304018,集齐50个陈盈骏碎片，可以合成一个陈盈骏。,4,3,50,104018,40,0,999,0
304019,葛昭宝碎片,304019,集齐50个葛昭宝碎片，可以合成一个葛昭宝。,4,3,50,104019,40,0,999,0
304020,赵岩昊碎片,304020,集齐50个赵岩昊碎片，可以合成一个赵岩昊。,4,3,50,104020,40,0,999,0
304021,林书豪碎片,304021,集齐50个林书豪碎片，可以合成一个林书豪。,4,3,50,104021,40,0,999,0
304022,范子铭碎片,304022,集齐50个范子铭碎片，可以合成一个范子铭。,4,3,50,104022,40,0,999,0
304023,姜伟泽碎片,304023,集齐50个姜伟泽碎片，可以合成一个姜伟泽。,4,3,50,104023,40,0,999,0
304024,西热力江碎片,304024,集齐50个西热力江碎片，可以合成一个西热力江。,4,3,50,104024,40,0,999,0
304025,高诗岩碎片,304025,集齐50个高诗岩碎片，可以合成一个高诗岩。,4,3,50,104025,40,0,999,0
304026,邹雨宸碎片,304026,集齐50个邹雨宸碎片，可以合成一个邹雨宸。,4,3,50,104026,40,0,999,0
304027,贺希宁碎片,304027,集齐50个贺希宁碎片，可以合成一个贺希宁。,4,3,50,104027,40,0,999,0
304028,顾全碎片,304028,集齐50个顾全碎片，可以合成一个顾全。,4,3,50,104028,40,0,999,0
304029,陈林坚碎片,304029,集齐50个陈林坚碎片，可以合成一个陈林坚。,4,3,50,104029,40,0,999,0
304030,姜宇星碎片,304030,集齐50个姜宇星碎片，可以合成一个姜宇星。,4,3,50,104030,40,0,999,0
304031,崔永熙碎片,304031,集齐50个崔永熙碎片，可以合成一个崔永熙。,4,3,50,104031,40,0,999,0
304032,曾凡博碎片,304032,集齐50个曾凡博碎片，可以合成一个曾凡博。,4,3,50,104032,40,0,999,0
