Id,Type,Name,Subtitle,ProductId,Content,DailyLimit,Limit,Rmb,Dollar,Pic,Pos,Param,Rebate
3001,1,环球体力包,补充体力，再战球场,com.cbaqlyf.ximi.bigbang1.30,1:6:100,5,0,30.0,4.989999771118164,,0,,150
3002,1,装备突破包,装备突破，助力球星,com.cbaqlyf.ximi.bigbang2.68,2:100108:20,5,0,68.0,9.989999771118164,,0,,150
3003,1,球星升品包,球星升品，实力爆发,com.cbaqlyf.ximi.bigbang3.128,2:400154:20,5,0,128.0,19.989999771118164,,0,,150
3004,1,球星急救包,急救包扎，重返赛场,com.cbaqlyf.ximi.bigbang4.198,2:400207:50,5,0,198.0,29.989999771118164,,0,,150
3005,1,球星体力包,补充体力，球场战神,com.cbaqlyf.ximi.bigbang5.198,2:400208:50,5,0,198.0,29.989999771118164,,0,,150
3006,1,教练训话包,教练训诫，提升状态,com.cbaqlyf.ximi.bigbang6.198,2:400209:50,5,0,198.0,29.989999771118164,,0,,150
3007,1,球馆加速包,加速训练，百炼成钢,com.cbaqlyf.ximi.bigbang7.648,2:200108:50|2:200107:300,5,0,648.0,99.98999786376953,,0,,150
3009,2,青铜招募包,,com.cbaqlyf.ximi.bigbang8.6,2:400210:1,0,1,6.0,0.9900000095367432,,0,,600
3010,2,白银招募包,,com.cbaqlyf.ximi.bigbang9.30,2:400210:10,0,2,30.0,4.989999771118164,,0,,999
3011,2,黄金招募包,,com.cbaqlyf.ximi.bigbang10.68,2:400210:10,0,2,68.0,9.989999771118164,,0,,480
3012,2,钻石招募包,,com.cbaqlyf.ximi.bigbang11.128,2:400210:15,5,0,128.0,19.989999771118164,,0,,350
3013,2,星耀招募包,,com.cbaqlyf.ximi.bigbang12.198,2:400210:20,5,0,198.0,29.989999771118164,,0,,300
3014,2,大师招募包,,com.cbaqlyf.ximi.bigbang13.328,2:400210:30,5,0,328.0,49.9900016784668,,0,,280
3015,2,王者招募包,,com.cbaqlyf.ximi.bigbang14.648,2:400210:40,5,0,648.0,99.98999786376953,,0,,200
700101,7001,环球体力包,补充体力，再战球场,com.cbaqlyf.ximi.bigbang15.30,1:1:300|1:6:300,3,0,30.0,4.989999771118164,,0,,500
700102,7001,装备突破包,装备突破，助力球星,com.cbaqlyf.ximi.bigbang16.30,1:1:300|2:100108:20,3,0,30.0,4.989999771118164,,0,,500
