Id,Type,Name,Desc
10001,1,UNLOCK_TRAIN_ELEMENT_COUNT,解锁训练项目数量变动
10002,1,MIN_TRAIN_ITEM_LEVEL,最小训练项目等级
10003,1,ORANGE_CARD_COUNT,橙色球员卡片数量
10004,1,RECEUIT_CARD_COUNT,招募球员次数
10005,1,PVE_SUCC_ID,PVE挑战成功关卡
10006,1,LEAGUE_1_COUNT,一级联赛比赛次数
10007,1,LEAGUE_2_COUNT,二级联赛比赛次数
10008,1,LEAGUE_3_COUNT,三级联赛比赛次数
10009,1,LEAGUE_4_COUNT,四级联赛比赛次数
10010,1,LEAGUE_5_COUNT,五级联赛比赛次数
10011,1,LEAGUE_1_RANK,一级联赛最好排名
10012,1,LEAGUE_2_RANK,二级联赛最好排名
10013,1,LEAGUE_3_RANK,三级联赛最好排名
10014,1,LEAGUE_4_RANK,四级联赛最好排名
10015,1,LEAGUE_5_RANK,五级联赛最好排名
10016,1,CUP_COUNT,杯赛比赛次数
10017,1,CHAMPION_COUNT,冠军杯比赛次数
10018,1,MAX_TRAIN_ITEM_LEVEL,最高训练项目等级
10019,1,ORANGE_STAR2_CARD,2星橙色球员数量
10020,1,TEN_RECEUIT_CARD,10连抽次数
10021,1,CREATE_ROLE,创建角色
11001,1,ONOFF_UNLOCK_1,解锁联赛
11002,1,ONOFF_UNLOCK_2,解锁挑战
11003,1,ONOFF_UNLOCK_3,解锁招募
11004,1,ONOFF_UNLOCK_4,解锁杯赛
20001,2,UPGRADE_TRAIN_ELEMENT,升级训练项目
20002,2,UPGRADE_TRAIN_ELEMENT_1,升级训练项目1
20003,2,UPGRADE_TRAIN_ELEMENT_2,升级训练项目2
20004,2,UPGRADE_TRAIN_ELEMENT_3,升级训练项目3
20005,2,UPGRADE_TRAIN_ELEMENT_4,升级训练项目4
20006,2,UPGRADE_TRAIN_ELEMENT_5,升级训练项目5
20007,2,UPGRADE_TRAIN_ELEMENT_6,升级训练项目6
20008,2,UPGRADE_TRAIN_ELEMENT_7,升级训练项目7
20009,2,UPGRADE_TRAIN_ELEMENT_8,升级训练项目8
20010,2,UPGRADE_TRAIN_ELEMENT_9,升级训练项目9
20011,2,UPGRADE_TRAIN_ELEMENT_10,升级训练项目10
20012,2,STRENGTHEN_TRAIN,强化训练
20013,2,COLLECTED_OFFLINE_TRAIN_EXP,领取离线奖励
20014,2,COMPLETE_INVITE_MATCH,完成邀请赛
20015,2,BIGBANG,超能训练
20016,2,RECEUIT_CARD,球员招募
20017,2,RECYCLE_FRAGMENT,碎片回收
20018,2,LEAN_SKILL,特技学习
20019,2,COMPLETE_CHALLENGE,完成挑战
20020,2,COMMAND_LEAGUE,指挥一场联赛
20021,2,COST_DIAMOND,消费钻石
20022,2,UPGRADE_CARD_STAR,球员升星
20023,2,WIN_LEAGUE,联赛获胜
20024,2,WIN_CUP,杯赛获胜
20025,2,WIN_CHAMPION,冠军赛获胜
20026,2,GET_DAILY_POINT,获得日常活跃点
20027,2,ADVANCE_QUALITY,球员升阶
20028,2,UPGRADE_SKILL,升级特技
30001,3,USER_LEVEL,玩家等级/球队等级
20029,2,ARENA_CHALLENGE,竞技场次数
20030,2,FIRST_GET_CARD,首次获得某个球员
20031,2,BOUGHT_GIFT_ID,购买了某个礼包
20032,2,BOUNTY_TASK_FINISH,悬赏任务完成
20033,2,TOWER_CHALLENGE_STAR,篮球殿堂星星
20034,2,COST_ENERGY,消耗体力
20035,2,COMPLETE_HERO_CHALLENGE,完成剧情赛
20036,2,FINISH_SHOOT_GAME,完成投篮小游戏
20037,2,UPGRADE_CARD_LEVEL,球员升级
20038,2,COST_MONEY,消费金币
20039,2,SIGN_UP_HUNDRED,参与百分大战
20040,2,SIGN_UP_HUNDRED_PLAYOFF,入围百分大战淘汰赛
20041,2,SHOOT_GAME_POINT,投篮小游戏得分
20042,2,TEAM_POINT,球队累计得分
20043,2,CARD_BOOK_EXP,消耗经验书获得经验
20044,2,UPGRADE_PURPLE_CARD_STAR,紫色球员升星
20045,2,SIGN_UP_LAEGUE,手动报名联赛
