Id,PoolId,CardId,Weight
1,10,102001,327
2,10,102002,653
3,10,102003,979
4,10,102006,1305
5,10,102007,1631
6,10,102008,1957
7,10,102009,2283
8,10,102010,2609
9,10,102011,2935
10,10,102012,3261
11,10,102013,3587
12,10,102014,3913
13,10,102015,4239
14,10,102016,4565
15,10,102017,4900
16,10,101001,5188
17,10,101002,5476
18,10,101003,5765
19,10,101004,6053
20,10,101005,6341
21,10,101006,6629
22,10,101007,6918
23,10,101008,7206
24,10,101009,7494
25,10,101010,7782
26,10,101011,8071
27,10,101012,8359
28,10,101013,8647
29,10,101014,8935
30,10,101015,9224
31,10,101016,9512
32,10,101017,9800
33,10,102004,9803
34,10,102005,9807
35,10,103001,9810
36,10,103002,9814
37,10,103003,9817
38,10,103004,9820
39,10,103005,9824
40,10,103006,9827
41,10,103007,9831
42,10,103008,9834
43,10,103009,9838
44,10,103010,9841
45,10,103011,9844
46,10,103012,9848
47,10,103013,9851
48,10,103014,9855
49,10,103015,9858
50,10,103016,9861
51,10,103017,9865
52,10,103018,9868
53,10,103019,9872
54,10,103020,9875
55,10,103021,9878
56,10,103022,9882
57,10,103023,9885
58,10,103024,9889
59,10,103025,9892
60,10,103026,9895
61,10,103027,9899
62,10,103028,9902
63,10,103029,9906
64,10,103030,9909
65,10,103031,9913
66,10,103032,9916
67,10,103033,9919
68,10,103034,9923
69,10,103035,9926
70,10,103036,9930
71,10,103037,9933
72,10,103038,9936
73,10,103039,9940
74,10,103040,9943
75,10,103041,9947
76,10,103042,9950
77,10,104002,9955
78,10,104003,9957
79,10,104005,9960
80,10,104009,9962
81,10,104011,9965
82,10,104012,9967
83,10,104015,9970
84,10,104017,9972
85,10,104018,9975
86,10,104019,9977
87,10,104020,9980
88,10,104031,9982
89,10,104023,9985
90,10,104025,9987
91,10,104026,9990
92,10,104027,9992
93,10,104028,9995
94,10,104030,9997
95,10,104035,9999
96,10,104038,10000
97,11,102004,227
98,11,102005,455
99,11,103001,682
100,11,103002,909
101,11,103003,1136
102,11,103004,1364
103,11,103005,1591
104,11,103006,1818
105,11,103007,2045
106,11,103008,2273
107,11,103009,2500
108,11,103010,2727
109,11,103011,2955
110,11,103012,3182
111,11,103013,3409
112,11,103014,3636
113,11,103015,3864
114,11,103016,4091
115,11,103017,4318
116,11,103018,4545
117,11,103019,4773
118,11,103020,5000
119,11,103021,5227
120,11,103022,5455
121,11,103023,5682
122,11,103024,5909
123,11,103025,6136
124,11,103026,6364
125,11,103027,6591
126,11,103028,6818
127,11,103029,7045
128,11,103030,7273
129,11,103031,7500
130,11,103032,7727
131,11,103033,7955
132,11,103034,8182
133,11,103035,8409
134,11,103036,8636
135,11,103037,8864
136,11,103038,9091
137,11,103039,9318
138,11,103040,9545
139,11,103041,9773
140,11,103042,10000
141,12,104002,1000
142,12,104003,1500
143,12,104005,2000
144,12,104009,2500
145,12,104011,3000
146,12,104012,3500
147,12,104015,4000
148,12,104017,4500
149,12,104018,5000
150,12,104019,5500
151,12,104020,6000
152,12,104031,6500
153,12,104023,7000
154,12,104025,7500
155,12,104026,8000
156,12,104027,8500
157,12,104028,9000
158,12,104030,9500
159,12,104035,10000
160,12,104038,10000
161,13,103001,10000
162,20,102001,327
163,20,102002,653
164,20,102003,979
165,20,102006,1305
166,20,102007,1631
167,20,102008,1957
168,20,102009,2283
169,20,102010,2609
170,20,102011,2935
171,20,102012,3261
172,20,102013,3587
173,20,102014,3913
174,20,102015,4239
175,20,102016,4565
176,20,102017,4900
177,20,101001,5188
178,20,101002,5476
179,20,101003,5765
180,20,101004,6053
181,20,101005,6341
182,20,101006,6629
183,20,101007,6918
184,20,101008,7206
185,20,101009,7494
186,20,101010,7782
187,20,101011,8071
188,20,101012,8359
189,20,101013,8647
190,20,101014,8935
191,20,101015,9224
192,20,101016,9512
193,20,101017,9800
194,20,102004,9803
195,20,102005,9807
196,20,103001,9810
197,20,103002,9814
198,20,103003,9817
199,20,103004,9820
200,20,103005,9824
201,20,103006,9827
202,20,103007,9831
203,20,103008,9834
204,20,103009,9838
205,20,103010,9841
206,20,103011,9844
207,20,103012,9848
208,20,103013,9851
209,20,103014,9855
210,20,103015,9858
211,20,103016,9861
212,20,103017,9865
213,20,103018,9868
214,20,103019,9872
215,20,103020,9875
216,20,103021,9878
217,20,103022,9882
218,20,103023,9885
219,20,103024,9889
220,20,103025,9892
221,20,103026,9895
222,20,103027,9899
223,20,103028,9902
224,20,103029,9906
225,20,103030,9909
226,20,103031,9913
227,20,103032,9916
228,20,103033,9919
229,20,103034,9923
230,20,103035,9926
231,20,103036,9930
232,20,103037,9933
233,20,103038,9936
234,20,103039,9940
235,20,103040,9943
236,20,103041,9947
237,20,103042,9950
238,20,104002,9955
239,20,104003,9958
240,20,104005,9961
241,20,104009,9963
242,20,104011,9966
243,20,104012,9968
244,20,104015,9971
245,20,104017,9974
246,20,104018,9976
247,20,104019,9979
248,20,104020,9982
249,20,104020,9984
250,20,104023,9987
251,20,104025,9989
252,20,104026,9992
253,20,104027,9995
254,20,104028,9997
255,20,104030,10000
256,20,104038,10000
257,21,102004,227
258,21,102005,455
259,21,103001,682
260,21,103002,909
261,21,103003,1136
262,21,103004,1364
263,21,103005,1591
264,21,103006,1818
265,21,103007,2045
266,21,103008,2273
267,21,103009,2500
268,21,103010,2727
269,21,103011,2955
270,21,103012,3182
271,21,103013,3409
272,21,103014,3636
273,21,103015,3864
274,21,103016,4091
275,21,103017,4318
276,21,103018,4545
277,21,103019,4773
278,21,103020,5000
279,21,103021,5227
280,21,103022,5455
281,21,103023,5682
282,21,103024,5909
283,21,103025,6136
284,21,103026,6364
285,21,103027,6591
286,21,103028,6818
287,21,103029,7045
288,21,103030,7273
289,21,103031,7500
290,21,103032,7727
291,21,103033,7955
292,21,103034,8182
293,21,103035,8409
294,21,103036,8636
295,21,103037,8864
296,21,103038,9091
297,21,103039,9318
298,21,103040,9545
299,21,103041,9773
300,21,103042,10000
301,22,104004,8480
302,22,104002,8640
303,22,104003,8720
304,22,104005,8800
305,22,104009,8880
306,22,104011,8960
307,22,104012,9040
308,22,104015,9120
309,22,104017,9200
310,22,104018,9280
311,22,104019,9360
312,22,104020,9440
313,22,104020,9520
314,22,104023,9600
315,22,104025,9680
316,22,104026,9760
317,22,104027,9840
318,22,104028,9920
319,22,104030,9960
320,22,104038,10000
321,23,104004,10000
322,30,102001,327
323,30,102002,653
324,30,102003,979
325,30,102006,1305
326,30,102007,1631
327,30,102008,1957
328,30,102009,2283
329,30,102010,2609
330,30,102011,2935
331,30,102012,3261
332,30,102013,3587
333,30,102014,3913
334,30,102015,4239
335,30,102016,4565
336,30,102017,4900
337,30,101001,5188
338,30,101002,5476
339,30,101003,5765
340,30,101004,6053
341,30,101005,6341
342,30,101006,6629
343,30,101007,6918
344,30,101008,7206
345,30,101009,7494
346,30,101010,7782
347,30,101011,8071
348,30,101012,8359
349,30,101013,8647
350,30,101014,8935
351,30,101015,9224
352,30,101016,9512
353,30,101017,9800
354,30,102004,9803
355,30,102005,9807
356,30,103001,9810
357,30,103002,9814
358,30,103003,9817
359,30,103004,9820
360,30,103005,9824
361,30,103006,9827
362,30,103007,9831
363,30,103008,9834
364,30,103009,9838
365,30,103010,9841
366,30,103011,9844
367,30,103012,9848
368,30,103013,9851
369,30,103014,9855
370,30,103015,9858
371,30,103016,9861
372,30,103017,9865
373,30,103018,9868
374,30,103019,9872
375,30,103020,9875
376,30,103021,9878
377,30,103022,9882
378,30,103023,9885
379,30,103024,9889
380,30,103025,9892
381,30,103026,9895
382,30,103027,9899
383,30,103028,9902
384,30,103029,9906
385,30,103030,9909
386,30,103031,9913
387,30,103032,9916
388,30,103033,9919
389,30,103034,9923
390,30,103035,9926
391,30,103036,9930
392,30,103037,9933
393,30,103038,9936
394,30,103039,9940
395,30,103040,9943
396,30,103041,9947
397,30,103042,9950
398,30,104002,9955
399,30,104003,9958
400,30,104005,9961
401,30,104009,9963
402,30,104011,9966
403,30,104012,9968
404,30,104015,9971
405,30,104017,9974
406,30,104018,9976
407,30,104019,9979
408,30,104020,9982
409,30,104020,9984
410,30,104023,9987
411,30,104025,9989
412,30,104026,9992
413,30,104027,9995
414,30,104028,9997
415,30,104030,9999
416,30,104038,10000
417,31,102004,227
418,31,102005,455
419,31,103001,682
420,31,103002,909
421,31,103003,1136
422,31,103004,1364
423,31,103005,1591
424,31,103006,1818
425,31,103007,2045
426,31,103008,2273
427,31,103009,2500
428,31,103010,2727
429,31,103011,2955
430,31,103012,3182
431,31,103013,3409
432,31,103014,3636
433,31,103015,3864
434,31,103016,4091
435,31,103017,4318
436,31,103018,4545
437,31,103019,4773
438,31,103020,5000
439,31,103021,5227
440,31,103022,5455
441,31,103023,5682
442,31,103024,5909
443,31,103025,6136
444,31,103026,6364
445,31,103027,6591
446,31,103028,6818
447,31,103029,7045
448,31,103030,7273
449,31,103031,7500
450,31,103032,7727
451,31,103033,7955
452,31,103034,8182
453,31,103035,8409
454,31,103036,8636
455,31,103037,8864
456,31,103038,9091
457,31,103039,9318
458,31,103040,9545
459,31,103041,9773
460,31,103042,10000
461,32,104006,8480
462,32,104002,8640
463,32,104003,8720
464,32,104005,8800
465,32,104009,8880
466,32,104011,8960
467,32,104012,9040
468,32,104015,9120
469,32,104017,9200
470,32,104018,9280
471,32,104019,9360
472,32,104020,9440
473,32,104020,9520
474,32,104023,9600
475,32,104025,9680
476,32,104026,9760
477,32,104027,9840
478,32,104028,9920
479,32,104030,9960
480,32,104038,10000
481,33,104006,10000
482,40,102001,327
483,40,102002,653
484,40,102003,979
485,40,102006,1305
486,40,102007,1631
487,40,102008,1957
488,40,102009,2283
489,40,102010,2609
490,40,102011,2935
491,40,102012,3261
492,40,102013,3587
493,40,102014,3913
494,40,102015,4239
495,40,102016,4565
496,40,102017,4900
497,40,101001,5188
498,40,101002,5476
499,40,101003,5765
500,40,101004,6053
501,40,101005,6341
502,40,101006,6629
503,40,101007,6918
504,40,101008,7206
505,40,101009,7494
506,40,101010,7782
507,40,101011,8071
508,40,101012,8359
509,40,101013,8647
510,40,101014,8935
511,40,101015,9224
512,40,101016,9512
513,40,101017,9800
514,40,102004,9803
515,40,102005,9807
516,40,103001,9810
517,40,103002,9814
518,40,103003,9817
519,40,103004,9820
520,40,103005,9824
521,40,103006,9827
522,40,103007,9831
523,40,103008,9834
524,40,103009,9838
525,40,103010,9841
526,40,103011,9844
527,40,103012,9848
528,40,103013,9851
529,40,103014,9855
530,40,103015,9858
531,40,103016,9861
532,40,103017,9865
533,40,103018,9868
534,40,103019,9872
535,40,103020,9875
536,40,103021,9878
537,40,103022,9882
538,40,103023,9885
539,40,103024,9889
540,40,103025,9892
541,40,103026,9895
542,40,103027,9899
543,40,103028,9902
544,40,103029,9906
545,40,103030,9909
546,40,103031,9913
547,40,103032,9916
548,40,103033,9919
549,40,103034,9923
550,40,103035,9926
551,40,103036,9930
552,40,103037,9933
553,40,103038,9936
554,40,103039,9940
555,40,103040,9943
556,40,103041,9947
557,40,103042,9950
558,40,104002,9955
559,40,104003,9958
560,40,104005,9961
561,40,104009,9963
562,40,104011,9966
563,40,104012,9968
564,40,104015,9971
565,40,104017,9974
566,40,104018,9976
567,40,104019,9979
568,40,104020,9982
569,40,104020,9984
570,40,104023,9987
571,40,104025,9989
572,40,104026,9992
573,40,104027,9995
574,40,104028,9997
575,40,104030,9999
576,40,104038,10000
577,41,102004,227
578,41,102005,455
579,41,103001,682
