Id,Desc,SeniorQuality,FloorsCount,CostGoods
1,普通卡池,4,30,400201
2,普通卡池,4,30,400210
3,普通卡池,4,30,400210
4,普通卡池,4,30,400210
5,普通卡池,4,30,400210
6,普通卡池,4,30,400210
7,普通卡池,4,30,400210
8,普通卡池,4,30,400210
9,普通卡池,4,30,400210
10,普通卡池,4,30,400210
11,普通卡池,4,30,400210
12,普通卡池,4,30,400210
13,普通卡池,4,30,400210
14,普通卡池,4,30,400210
15,普通卡池,4,30,400210
16,普通卡池,4,30,400210
17,普通卡池,4,30,400210
18,普通卡池,4,30,400210
19,普通卡池,4,30,400210
20,普通卡池,4,30,400210
21,普通卡池,4,30,400210
22,普通卡池,4,30,400210
23,普通卡池,4,30,400210
24,普通卡池,4,30,400210
25,普通卡池,4,30,400210
26,普通卡池,4,30,400210
27,普通卡池,4,30,400210
28,普通卡池,4,30,400210
29,全明星北区卡池,4,30,400210
30,全明星南区卡池,4,30,400210
31,普通卡池,4,30,400210
32,普通卡池,4,30,400210
33,普通卡池,4,30,400210
34,普通卡池,4,30,400210
35,普通卡池,4,30,400210
36,普通卡池,4,30,400210
37,普通卡池,4,30,400210
38,普通卡池,4,30,400210
39,普通卡池,4,30,400210
40,全明星北区卡池2,4,30,400210
41,全明星南区卡池2,4,30,400210
42,普通卡池,4,30,400210
43,普通卡池,4,30,400210
44,普通卡池,4,30,400210
45,普通卡池,4,30,400210
46,普通卡池,4,30,400210
47,普通卡池,4,30,400210
48,普通卡池,4,30,400210
49,普通卡池,4,30,400210
50,普通卡池,4,30,400210
51,全明星北区卡池3,4,30,400210
52,全明星南区卡池3,4,30,400210
53,普通卡池,4,30,400210
54,普通卡池,4,30,400210
55,普通卡池,4,30,400210
56,普通卡池,4,30,400210
57,普通卡池,4,30,400210
58,普通卡池,4,30,400210
59,普通卡池,4,30,400210
60,普通卡池,4,30,400210
61,普通卡池,4,30,400210
62,普通卡池,4,30,400210
63,普通卡池,4,30,400210
64,普通卡池,4,30,400210
65,普通卡池,4,30,400210
66,普通卡池,4,30,400210
67,普通卡池,4,30,400210
68,普通卡池,4,30,400210
69,普通卡池,4,30,400210
70,普通卡池,4,30,400210
71,普通卡池,4,30,400210
72,普通卡池,4,30,400210
73,普通卡池,4,30,400210
74,普通卡池,4,30,400210
75,普通卡池,4,30,400210
76,普通卡池,4,30,400210
77,普通卡池,4,30,400210
78,普通卡池,4,30,400210
79,普通卡池,4,30,400210
80,普通卡池,4,30,400210
81,普通卡池,4,30,400210
82,普通卡池,4,30,400210
83,普通卡池,4,30,400210
84,普通卡池,4,30,400210
85,普通卡池,4,30,400210
86,普通卡池,4,30,400210
87,普通卡池,4,30,400210
88,普通卡池,4,30,400210
89,全明星北区卡池4,4,30,400210
90,全明星南区卡池4,4,30,400210
