Id,Icon
1000,275993122
1001,275813444
1002,275813171
1003,270824243
1004,270823424
1005,273809408
1006,273809954
1007,275333666
1008,275333394
1009,268579089
1010,268579635
1011,271213363
1012,277041698
1013,277042244
1014,278959172
1015,278958080
1016,270016512
1017,275906560
1018,275906833
1019,277430545
1020,277431091
1021,279282483
1022,279282210
1023,273310242
1024,273310788
1025,274113604
1026,274113331
1027,270566195
1028,270565376
1029,273158144
1030,275010082
1031,269037841
1032,269038387
1033,269841203
1034,273874944
1035,277255236
1036,277254417
1037,268706065
1038,268705792
1039,274202624
1040,274203170
1041,277168674
1042,279020339
1043,271934259
1044,271934532
1045,274900036
1046,274899217
1047,276443409
1048,276443136
1049,271851520
1050,272650786
1051,272650514
1052,279265553
1053,279266097
1054,268534579
1055,268533760
1056,272175104
1057,272176196
1058,275948612
1059,275947844
1060,279523601
1061,279524147
1062,269840930
1063,275403298
1064,275403844
1065,271610675
1066,271609856
1067,276120098
1068,276119825
1069,270082321
1070,270082577
1071,270885410
1072,270885956
1073,273851460
1074,273851187
1075,279348019
1076,279347200
1077,270798848
1078,270799936
1079,274179140
1080,274178321
1081,278212881
1082,278213427
1083,268530483
1084,268530210
1085,273044002
1086,273044548
1087,275944516
1088,275943700
1089,277487889
1090,277487616
1091,273944576
1092,273945122
1093,274743842
1094,274743569
1095,268775697
1096,268776243
1097,270627635
1098,270626819
1099,273219584
